,Unnamed: 0,year,month,date,region,admin2_name,precipitation,Season,season
111,111,2003,5,2003-05-01T00:00:00,east,Rwamagana,97.70684866591792,Long Rain,Long Rains
112,112,2004,2,2004-02-01T00:00:00,east,Bugesera,89.8653365406537,Long Rain,Long Rains
113,113,2004,3,2004-03-01T00:00:00,east,Bugesera,140.5180332388789,Long Rain,Long Rains
114,114,2004,4,2004-04-01T00:00:00,east,Bugesera,183.8815806477619,Long Rain,Long Rains
115,115,2004,5,2004-05-01T00:00:00,east,Bugesera,53.04494067804405,Long Rain,Long Rains
116,116,2004,2,2004-02-01T00:00:00,east,Gatsibo,93.46035300176784,Long Rain,Long Rains
117,117,2004,3,2004-03-01T00:00:00,east,Gatsibo,130.83624499115487,Long Rain,Long Rains
118,118,2004,4,2004-04-01T00:00:00,east,Gatsibo,176.31122423155875,Long Rain,Long Rains
119,119,2004,5,2004-05-01T00:00:00,east,Gatsibo,63.35984744831992,Long Rain,Long Rains
120,120,2004,2,2004-02-01T00:00:00,east,Kayonza,89.4927754058736,Long Rain,Long Rains
121,121,2004,3,2004-03-01T00:00:00,east,Kayonza,129.81367715215774,Long Rain,Long Rains
122,122,2004,4,2004-04-01T00:00:00,east,Kayonza,151.38353589808608,Long Rain,Long Rains
123,123,2004,5,2004-05-01T00:00:00,east,Kayonza,56.79304965071316,Long Rain,Long Rains
124,124,2004,2,2004-02-01T00:00:00,east,Kirehe,99.45479145562206,Long Rain,Long Rains
125,125,2004,3,2004-03-01T00:00:00,east,Kirehe,146.06003498885858,Long Rain,Long Rains
126,126,2004,4,2004-04-01T00:00:00,east,Kirehe,175.26103074328887,Long Rain,Long Rains
127,127,2004,5,2004-05-01T00:00:00,east,Kirehe,51.33483743449786,Long Rain,Long Rains
128,128,2004,2,2004-02-01T00:00:00,east,Ngoma,94.65213011095686,Long Rain,Long Rains
129,129,2004,3,2004-03-01T00:00:00,east,Ngoma,150.00220491674006,Long Rain,Long Rains
130,130,2004,4,2004-04-01T00:00:00,east,Ngoma,177.94565458681842,Long Rain,Long Rains
131,131,2004,5,2004-05-01T00:00:00,east,Ngoma,54.622773276105065,Long Rain,Long Rains
132,132,2004,2,2004-02-01T00:00:00,east,Nyagatare,79.08961003627685,Long Rain,Long Rains
133,133,2004,3,2004-03-01T00:00:00,east,Nyagatare,124.98192695405042,Long Rain,Long Rains
134,134,2004,4,2004-04-01T00:00:00,east,Nyagatare,149.64307711419934,Long Rain,Long Rains
135,135,2004,5,2004-05-01T00:00:00,east,Nyagatare,79.14487784917976,Long Rain,Long Rains
136,136,2004,2,2004-02-01T00:00:00,east,Rwamagana,86.78473915667814,Long Rain,Long Rains
137,137,2004,3,2004-03-01T00:00:00,east,Rwamagana,137.31665769715536,Long Rain,Long Rains
138,138,2004,4,2004-04-01T00:00:00,east,Rwamagana,182.82199316689943,Long Rain,Long Rains
139,139,2004,5,2004-05-01T00:00:00,east,Rwamagana,54.766244906714,Long Rain,Long Rains
140,140,2005,2,2005-02-01T00:00:00,east,Bugesera,62.84395486299079,Long Rain,Long Rains
141,141,2005,3,2005-03-01T00:00:00,east,Bugesera,140.08719253457045,Long Rain,Long Rains
142,142,2005,4,2005-04-01T00:00:00,east,Bugesera,106.26816126386458,Long Rain,Long Rains
143,143,2005,5,2005-05-01T00:00:00,east,Bugesera,87.85562785219342,Long Rain,Long Rains
144,144,2005,2,2005-02-01T00:00:00,east,Gatsibo,60.28347278681075,Long Rain,Long Rains
145,145,2005,3,2005-03-01T00:00:00,east,Gatsibo,166.2184311583333,Long Rain,Long Rains
146,146,2005,4,2005-04-01T00:00:00,east,Gatsibo,121.15501037497422,Long Rain,Long Rains
147,147,2005,5,2005-05-01T00:00:00,east,Gatsibo,100.0188547420426,Long Rain,Long Rains
148,148,2005,2,2005-02-01T00:00:00,east,Kayonza,56.806906817275085,Long Rain,Long Rains
149,149,2005,3,2005-03-01T00:00:00,east,Kayonza,154.98556481300804,Long Rain,Long Rains
150,150,2005,4,2005-04-01T00:00:00,east,Kayonza,119.69639609398776,Long Rain,Long Rains
151,151,2005,5,2005-05-01T00:00:00,east,Kayonza,97.39417442484998,Long Rain,Long Rains
152,152,2005,2,2005-02-01T00:00:00,east,Kirehe,55.2533788901788,Long Rain,Long Rains
153,153,2005,3,2005-03-01T00:00:00,east,Kirehe,136.85527381461347,Long Rain,Long Rains
154,154,2005,4,2005-04-01T00:00:00,east,Kirehe,115.21352784490392,Long Rain,Long Rains
155,155,2005,5,2005-05-01T00:00:00,east,Kirehe,88.79656873293861,Long Rain,Long Rains
156,156,2005,2,2005-02-01T00:00:00,east,Ngoma,60.06458411050354,Long Rain,Long Rains
157,157,2005,3,2005-03-01T00:00:00,east,Ngoma,144.44083572100078,Long Rain,Long Rains
158,158,2005,4,2005-04-01T00:00:00,east,Ngoma,116.86744935609104,Long Rain,Long Rains
159,159,2005,5,2005-05-01T00:00:00,east,Ngoma,89.64856962086061,Long Rain,Long Rains
160,160,2005,2,2005-02-01T00:00:00,east,Nyagatare,50.13506929002422,Long Rain,Long Rains
