,year,month,date,region,precipitation,Season
1,2000,4,2000-04-01T00:00:00,Eastern and Northern Kenya,45.30023601069666,Long Rain
2,2000,5,2000-05-01T00:00:00,Eastern and Northern Kenya,24.638042752694883,Long Rain
3,2000,6,2000-06-01T00:00:00,Eastern and Northern Kenya,5.139532589526109,Long Rain
4,2001,3,2001-03-01T00:00:00,Eastern and Northern Kenya,48.436901534522306,Long Rain
5,2001,4,2001-04-01T00:00:00,Eastern and Northern Kenya,101.36559495414834,Long Rain
6,2001,5,2001-05-01T00:00:00,Eastern and Northern Kenya,22.97831002118593,Long Rain
7,2001,6,2001-06-01T00:00:00,Eastern and Northern Kenya,5.8358828152567535,Long Rain
8,2002,3,2002-03-01T00:00:00,Eastern and Northern Kenya,46.92441824116887,Long Rain
9,2002,4,2002-04-01T00:00:00,Eastern and Northern Kenya,169.04161574765607,Long Rain
10,2002,5,2002-05-01T00:00:00,Eastern and Northern Kenya,35.60403641587992,Long Rain
11,2002,6,2002-06-01T00:00:00,Eastern and Northern Kenya,7.453296744634556,Long Rain
12,2003,3,2003-03-01T00:00:00,Eastern and Northern Kenya,29.026502346514576,Long Rain
13,2003,4,2003-04-01T00:00:00,Eastern and Northern Kenya,162.85825610059862,Long Rain
14,2003,5,2003-05-01T00:00:00,Eastern and Northern Kenya,60.7759238178198,Long Rain
15,2003,6,2003-06-01T00:00:00,Eastern and Northern Kenya,5.776250715449048,Long Rain
16,2004,3,2004-03-01T00:00:00,Eastern and Northern Kenya,32.26320671448935,Long Rain
17,2004,4,2004-04-01T00:00:00,Eastern and Northern Kenya,114.03110818495526,Long Rain
18,2004,5,2004-05-01T00:00:00,Eastern and Northern Kenya,22.492198210027976,Long Rain
19,2004,6,2004-06-01T00:00:00,Eastern and Northern Kenya,13.022962649697893,Long Rain
20,2005,3,2005-03-01T00:00:00,Eastern and Northern Kenya,19.21690650125265,Long Rain
21,2005,4,2005-04-01T00:00:00,Eastern and Northern Kenya,83.45076430781127,Long Rain
22,2005,5,2005-05-01T00:00:00,Eastern and Northern Kenya,53.054357906776474,Long Rain
23,2005,6,2005-06-01T00:00:00,Eastern and Northern Kenya,5.205059913904541,Long Rain
24,2006,3,2006-03-01T00:00:00,Eastern and Northern Kenya,34.29118979714344,Long Rain
25,2006,4,2006-04-01T00:00:00,Eastern and Northern Kenya,148.06684849908976,Long Rain
