,year,month,date,region,admin2_name,precipitation,season
79,2000,6,2000-06-01T00:00:00,Western and Rift Valley,West Pokot,52.27859923411892,Long Rains
80,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Vihiga,159.24035091997547,Long Rains
81,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Vihiga,251.3392967032024,Long Rains
82,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Vihiga,195.533402396071,Long Rains
83,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Vihiga,149.94499749525812,Long Rains
84,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Narok,99.41182817258357,Long Rains
85,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Narok,135.38368701812504,Long Rains
86,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Narok,70.29918953101149,Long Rains
87,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Narok,64.46032818325286,Long Rains
88,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Trans Mara,128.29405682031972,Long Rains
89,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Trans Mara,167.7900193498307,Long Rains
90,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Trans Mara,167.479783585454,Long Rains
91,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Trans Mara,105.70908468097367,Long Rains
92,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Bomet,108.03522149203093,Long Rains
93,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Bomet,201.83495306921677,Long Rains
94,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Bomet,176.51849051087214,Long Rains
95,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Bomet,119.07755227412783,Long Rains
96,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Buret,117.61823808432125,Long Rains
97,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Buret,233.50376280612002,Long Rains
98,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Buret,251.4747401156183,Long Rains
99,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Buret,171.15864074311827,Long Rains
100,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Nandi North,135.00617366544446,Long Rains
101,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Nandi North,202.96169800963372,Long Rains
102,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Nandi North,182.4515229011601,Long Rains
103,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Nandi North,199.4590110993749,Long Rains
104,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Nandi South,128.5570664428823,Long Rains
105,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Nandi South,205.55242961997604,Long Rains
106,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Nandi South,185.60791018483414,Long Rains
107,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Nandi South,165.0419930627432,Long Rains
108,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Baringo,107.87629253530424,Long Rains
109,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Baringo,140.77050416213547,Long Rains
110,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Baringo,60.74294051485791,Long Rains
111,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Baringo,116.11968556029824,Long Rains
112,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Kajiado,139.96348738580514,Long Rains
113,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Kajiado,104.36315001684663,Long Rains
114,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Kajiado,28.063277652869157,Long Rains
115,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Kajiado,11.306053257943805,Long Rains
116,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Keiyo,116.07003749901656,Long Rains
117,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Keiyo,205.69545895380563,Long Rains
118,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Keiyo,116.13681091807287,Long Rains
119,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Keiyo,159.63241997856437,Long Rains
120,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Kericho,125.85369628456306,Long Rains
121,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Kericho,185.93123185454243,Long Rains
