,year,month,date,region,admin2_name,precipitation
278,2023,3,2023-03-01T00:00:00,Zambia,Chibombo,62.41091139511495
286,2023,11,2023-11-01T00:00:00,Zambia,Chibombo,37.06166156253625
287,2023,12,2023-12-01T00:00:00,Zambia,Chibombo,257.5240626293059
288,2000,1,2000-01-01T00:00:00,Zambia,Kabwe,233.66071074192732
289,2000,2,2000-02-01T00:00:00,Zambia,Kabwe,251.07318788166086
290,2000,3,2000-03-01T00:00:00,Zambia,Kabwe,212.3069165711777
298,2000,11,2000-11-01T00:00:00,Zambia,Kabwe,149.55139569577548
299,2000,12,2000-12-01T00:00:00,Zambia,Kabwe,219.0894586580563
300,2001,1,2001-01-01T00:00:00,Zambia,Kabwe,232.99204024199972
301,2001,2,2001-02-01T00:00:00,Zambia,Kabwe,330.1566031770324
302,2001,3,2001-03-01T00:00:00,Zambia,Kabwe,206.6464274699404
310,2001,11,2001-11-01T00:00:00,Zambia,Kabwe,130.90657728105924
311,2001,12,2001-12-01T00:00:00,Zambia,Kabwe,210.34244230765148
312,2002,1,2002-01-01T00:00:00,Zambia,Kabwe,128.0523917537723
313,2002,2,2002-02-01T00:00:00,Zambia,Kabwe,75.10504777806975
314,2002,3,2002-03-01T00:00:00,Zambia,Kabwe,52.14206589996765
322,2002,11,2002-11-01T00:00:00,Zambia,Kabwe,90.0859206446383
323,2002,12,2002-12-01T00:00:00,Zambia,Kabwe,259.419741873076
324,2003,1,2003-01-01T00:00:00,Zambia,Kabwe,156.64408660005253
325,2003,2,2003-02-01T00:00:00,Zambia,Kabwe,255.64739216203094
326,2003,3,2003-03-01T00:00:00,Zambia,Kabwe,227.45504898591713
334,2003,11,2003-11-01T00:00:00,Zambia,Kabwe,99.9560790623497
335,2003,12,2003-12-01T00:00:00,Zambia,Kabwe,193.5566228081928
336,2004,1,2004-01-01T00:00:00,Zambia,Kabwe,232.70754169892209
337,2004,2,2004-02-01T00:00:00,Zambia,Kabwe,219.71506848498828
338,2004,3,2004-03-01T00:00:00,Zambia,Kabwe,132.1626650097164
346,2004,11,2004-11-01T00:00:00,Zambia,Kabwe,94.30132768705852
347,2004,12,2004-12-01T00:00:00,Zambia,Kabwe,317.8425961863835
348,2005,1,2005-01-01T00:00:00,Zambia,Kabwe,196.3999360969757
349,2005,2,2005-02-01T00:00:00,Zambia,Kabwe,59.44855620789945
350,2005,3,2005-03-01T00:00:00,Zambia,Kabwe,64.74577259123642
358,2005,11,2005-11-01T00:00:00,Zambia,Kabwe,110.42095218361874
359,2005,12,2005-12-01T00:00:00,Zambia,Kabwe,287.2292579920464
360,2006,1,2006-01-01T00:00:00,Zambia,Kabwe,214.59476463350356
361,2006,2,2006-02-01T00:00:00,Zambia,Kabwe,191.3847022681082
362,2006,3,2006-03-01T00:00:00,Zambia,Kabwe,170.01356645420466
370,2006,11,2006-11-01T00:00:00,Zambia,Kabwe,111.71076636097342
371,2006,12,2006-12-01T00:00:00,Zambia,Kabwe,178.05754872743034
372,2007,1,2007-01-01T00:00:00,Zambia,Kabwe,289.54557482144827
373,2007,2,2007-02-01T00:00:00,Zambia,Kabwe,257.88676483412183
374,2007,3,2007-03-01T00:00:00,Zambia,Kabwe,59.880253400616255
382,2007,11,2007-11-01T00:00:00,Zambia,Kabwe,142.05777087171413
383,2007,12,2007-12-01T00:00:00,Zambia,Kabwe,329.3100915883602
384,2008,1,2008-01-01T00:00:00,Zambia,Kabwe,312.8026070035487
385,2008,2,2008-02-01T00:00:00,Zambia,Kabwe,110.38494853599298
386,2008,3,2008-03-01T00:00:00,Zambia,Kabwe,105.44926956781134
394,2008,11,2008-11-01T00:00:00,Zambia,Kabwe,162.5651328085897
395,2008,12,2008-12-01T00:00:00,Zambia,Kabwe,263.77420530418414
396,2009,1,2009-01-01T00:00:00,Zambia,Kabwe,284.08044239462345
397,2009,2,2009-02-01T00:00:00,Zambia,Kabwe,91.72343188873454
398,2009,3,2009-03-01T00:00:00,Zambia,Kabwe,192.3329044647771
406,2009,11,2009-11-01T00:00:00,Zambia,Kabwe,209.57655738974793
407,2009,12,2009-12-01T00:00:00,Zambia,Kabwe,174.5988816665925
408,2010,1,2010-01-01T00:00:00,Zambia,Kabwe,158.97083761092554
409,2010,2,2010-02-01T00:00:00,Zambia,Kabwe,340.49438197813987
410,2010,3,2010-03-01T00:00:00,Zambia,Kabwe,179.2785675019345
418,2010,11,2010-11-01T00:00:00,Zambia,Kabwe,131.26498651931718
419,2010,12,2010-12-01T00:00:00,Zambia,Kabwe,264.45609579709674
420,2011,1,2011-01-01T00:00:00,Zambia,Kabwe,250.20984330290273
421,2011,2,2011-02-01T00:00:00,Zambia,Kabwe,72.42766634124804
422,2011,3,2011-03-01T00:00:00,Zambia,Kabwe,125.43462541897901
430,2011,11,2011-11-01T00:00:00,Zambia,Kabwe,140.67115322889813
431,2011,12,2011-12-01T00:00:00,Zambia,Kabwe,155.80601587785122
432,2012,1,2012-01-01T00:00:00,Zambia,Kabwe,264.1301119345813
433,2012,2,2012-02-01T00:00:00,Zambia,Kabwe,187.65586841308766
434,2012,3,2012-03-01T00:00:00,Zambia,Kabwe,157.75213344686225
442,2012,11,2012-11-01T00:00:00,Zambia,Kabwe,84.12045827045281
443,2012,12,2012-12-01T00:00:00,Zambia,Kabwe,245.3330666737975
444,2013,1,2013-01-01T00:00:00,Zambia,Kabwe,290.3497249684944
445,2013,2,2013-02-01T00:00:00,Zambia,Kabwe,199.89190497885156
446,2013,3,2013-03-01T00:00:00,Zambia,Kabwe,58.77427058809841
454,2013,11,2013-11-01T00:00:00,Zambia,Kabwe,60.75251662074205
455,2013,12,2013-12-01T00:00:00,Zambia,Kabwe,227.20908391884606
456,2014,1,2014-01-01T00:00:00,Zambia,Kabwe,218.64948137708942
457,2014,2,2014-02-01T00:00:00,Zambia,Kabwe,169.62954466796538
458,2014,3,2014-03-01T00:00:00,Zambia,Kabwe,98.87576208307985
466,2014,11,2014-11-01T00:00:00,Zambia,Kabwe,50.15084619527292
467,2014,12,2014-12-01T00:00:00,Zambia,Kabwe,229.75698053985772
468,2015,1,2015-01-01T00:00:00,Zambia,Kabwe,218.32783930225492
469,2015,2,2015-02-01T00:00:00,Zambia,Kabwe,187.2249686837715
470,2015,3,2015-03-01T00:00:00,Zambia,Kabwe,83.22505025021603
478,2015,11,2015-11-01T00:00:00,Zambia,Kabwe,56.76212193766924
479,2015,12,2015-12-01T00:00:00,Zambia,Kabwe,159.40346662462505
480,2016,1,2016-01-01T00:00:00,Zambia,Kabwe,247.31300119712608
481,2016,2,2016-02-01T00:00:00,Zambia,Kabwe,98.08754656693706
482,2016,3,2016-03-01T00:00:00,Zambia,Kabwe,238.33521038255185
490,2016,11,2016-11-01T00:00:00,Zambia,Kabwe,194.11979803823425
